"Tx","Line","Batch","GRIA1","GRIN1","GRIN2A","GAD1","SLC32A1","SYT1","HLA-A"
"Ctrl","L3","L3_B2",11.753,11.789,11.882,11.218,11.751,12.201,11.006
"Ctrl","L3","L3_B3",9.633,9.287,9.39,9.161,9.112,10.197,9.877
"Ctrl","L3","L3_B3",9.349,9.278,8.862,9.553,9.495,9.095,8.299
"Ctrl","L3","L3_B3",9.909,8.699,9.88,9.021,9.903,9.558,9.601
"Ctrl","L4","L4_B1",10.102,10.274,10.743,10.274,10.253,10.49,10.27
"Ctrl","L4","L4_B1",9.781,10.209,10.047,10.902,10.08,10.176,10.22
"Ctrl","L4","L4_B1",10.682,11.817,9.668,10.95,10.542,9.966,10.324
"Ctrl","L4","L4_B2",10.147,9.872,10.655,10.745,11.047,10.552,10.71
"Ctrl","L4","L4_B2",11.275,10.621,10.38,9.627,10.516,10.881,10.751
"Ctrl","L4","L4_B2",10.337,9.806,10.679,10.526,9.859,11.291,10.44
"Ctrl","L4","L4_B3",11.342,10.279,10.367,11.547,10.361,10.06,10.052
"Ctrl","L4","L4_B3",11.175,11.077,10.535,11.421,10.63,10.663,10.295
"Ctrl","L4","L4_B3",10.623,10.516,11.557,10.919,10.751,10.859,10.28
"KO","L1","L1_B1",13.601,11.613,11.815,11.464,11.603,10.782,11.994
"KO","L1","L1_B1",13.135,11.399,11.907,12.844,11.949,11.238,11.492
"KO","L1","L1_B1",12.858,11.307,12.521,13.1,11.396,11.225,11.748
"KO","L1","L1_B2",12.646,10.295,11.372,12.53,10.75,10.946,10.528
"KO","L1","L1_B2",12.847,10.695,10.307,12.586,11.611,10.213,11.039
"KO","L1","L1_B2",12.552,11.397,11.474,12.723,11.445,11.414,11.589
"KO","L1","L1_B3",11.981,12.562,12.864,13.28,12.857,11.962,12.189
"KO","L1","L1_B3",13.62,12.031,13.308,14.133,11.437,13.038,12.22
"KO","L1","L1_B3",13.294,12.278,11.589,13.713,12.322,12.676,12.242
"KO","L2","L2_B1",10.671,9.94,8.803,9.957,10.055,8.652,9.984
"KO","L2","L2_B1",10.869,10.098,9.026,11.269,9.741,9.428,9.071
"KO","L2","L2_B1",11.278,8.83,8.851,11.181,8.962,9.082,9.717
"KO","L2","L2_B2",11.483,10.588,10.323,12.258,11.013,11.09,11.096
"KO","L2","L2_B2",12.498,11.247,10.554,11.015,10.21,10.673,10.052
"KO","L2","L2_B2",12.014,10.411,10.046,11.562,10.42,10.368,10.707
"KO","L2","L2_B3",11.117,9.371,10.416,10.915,9.991,9.617,9.392
"KO","L2","L2_B3",11.058,9.355,9.452,10.62,9.253,9.474,9.912
"KO","L2","L2_B3",10.958,8.954,9.356,10.772,9.812,9.315,9.855
"KO","L3","L3_B1",11.824,10.924,11.394,13.576,11,12.156,11.145
"KO","L3","L3_B1",12.301,11.131,11.165,11.937,10.358,10.881,11.214
"KO","L3","L3_B1",12.658,10.939,11.08,11.289,10.722,10.911,10.786
"KO","L3","L3_B2",12.458,12.292,12.474,13.072,11.191,10.962,11.636
"KO","L3","L3_B2",12.664,11.495,11.627,12.591,11.493,11.715,11.221
"KO","L3","L3_B2",13.226,11.519,11.093,13.158,11.567,12.18,11.252
"KO","L3","L3_B3",11.114,9.878,9.723,10.324,9.453,8.494,8.919
"KO","L3","L3_B3",10.962,9.002,9.354,11.836,9.408,9.405,9.948
"KO","L3","L3_B3",10.287,9.509,9.269,10.668,10.476,8.939,10.087
"KO","L4","L4_B1",11.116,9.69,9.932,11.427,9.773,11.187,10.259
"KO","L4","L4_B1",12.422,11.049,10.68,11.582,10.258,11.145,9.901
"KO","L4","L4_B1",11.795,10.329,10.379,12.097,10.64,10.633,10.422
"KO","L4","L4_B2",11.797,10.319,10.811,11.802,11.367,11.268,11.674
"KO","L4","L4_B2",11.692,9.934,10.436,10.94,10.597,10.119,11.574
"KO","L4","L4_B2",11.156,10.549,10.224,11.751,11.172,11.028,9.693
"KO","L4","L4_B3",12.52,10.614,11.64,12.595,10.192,10.722,10.836
"KO","L4","L4_B3",12.106,10.748,10.879,12.234,11.738,11.175,11.781
"KO","L4","L4_B3",12.123,11.658,11.488,12.582,10.669,10.865,10.995
